"","beta","rho","v_shed","v_reduced_shed","reduced_shed","v_susc","v_Ab_susc","set","coverage","persistence"
"93",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,12,"0.7",100
"94",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,12,"0.8",100
"95",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,12,"0.9",100
"96",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,12,"1",100
"97",0.125,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,13,"0",100
"98",0.125,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,13,"0.4",100
"99",0.125,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,13,"0.5",100
"100",0.125,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,13,"0.6",100
"101",0.125,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,13,"0.7",100
"102",0.125,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,13,"0.8",100
"103",0.125,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,13,"0.9",100
"104",0.125,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,13,"1",84
"105",0.164285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,14,"0",100
"106",0.164285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,14,"0.4",100
"107",0.164285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,14,"0.5",100
"108",0.164285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,14,"0.6",100
"109",0.164285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,14,"0.7",100
"110",0.164285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,14,"0.8",100
"111",0.164285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,14,"0.9",100
"112",0.164285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,14,"1",100
"113",0.214285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,15,"0",100
"114",0.214285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,15,"0.4",100
"115",0.214285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,15,"0.5",100
"116",0.214285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,15,"0.6",100
"117",0.214285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,15,"0.7",100
"118",0.214285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,15,"0.8",100
"119",0.214285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,15,"0.9",100
"120",0.214285714285714,0.000925925925925926,0.5,0.33,0.5,0.75,0.5,15,"1",100
"121",0.125,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,16,"0",100
"122",0.125,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,16,"0.4",100
"123",0.125,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,16,"0.5",100
"124",0.125,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,16,"0.6",100
"125",0.125,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,16,"0.7",100
"126",0.125,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,16,"0.8",56
"127",0.125,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,16,"0.9",1
"128",0.125,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,16,"1",0
"129",0.164285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,17,"0",100
"130",0.164285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,17,"0.4",100
"131",0.164285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,17,"0.5",100
"132",0.164285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,17,"0.6",100
"133",0.164285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,17,"0.7",100
"134",0.164285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,17,"0.8",100
"135",0.164285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,17,"0.9",100
"136",0.164285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,17,"1",100
"137",0.214285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,18,"0",100
"138",0.214285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,18,"0.4",100
"139",0.214285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,18,"0.5",100
"140",0.214285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,18,"0.6",100
"141",0.214285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,18,"0.7",100
"142",0.214285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,18,"0.8",100
"143",0.214285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,18,"0.9",100
"144",0.214285714285714,0.000277777777777778,0.5,0.33,0.5,0.75,0.5,18,"1",100
"145",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0",100
"146",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.4",100
"147",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.5",100
"148",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.6",100
"149",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.7",100
"150",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.8",100
"151",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.9",100
"152",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"1",99
"153",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0",100
"154",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.4",100
"155",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.5",100
"156",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.6",100
"157",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.7",100
"158",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.8",100
"159",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.9",100
"160",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"1",100
"161",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0",100
"162",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.4",100
"163",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.5",100
"164",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.6",100
"165",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.7",100
"166",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.8",100
"167",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.9",100
"168",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"1",100
"169",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0",100
"170",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.4",100
"171",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.5",100
"172",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.6",100
"173",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.7",100
"174",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.8",65
"175",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.9",11
"176",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"1",0
"177",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0",100
"178",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.4",100
"179",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.5",100
"180",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.6",100
"181",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.7",100
"182",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.8",100
"183",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.9",99
"184",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"1",37
"185",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0",100
"186",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.4",100
"187",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.5",100
"188",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.6",100
"189",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.7",100
"190",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.8",100
