"","beta","rho","v_shed","v_reduced_shed","reduced_shed","v_susc","v_Ab_susc","set","coverage","persistence"
"242",0.25,0.000925925925925926,1,0.0015,0.01,1,0.5,31,"0.4",71
"243",0.25,0.000925925925925926,1,0.0015,0.01,1,0.5,31,"0.5",72
"244",0.25,0.000925925925925926,1,0.0015,0.01,1,0.5,31,"0.6",74
"245",0.25,0.000925925925925926,1,0.0015,0.01,1,0.5,31,"0.7",71
"246",0.25,0.000925925925925926,1,0.0015,0.01,1,0.5,31,"0.8",65
"247",0.25,0.000925925925925926,1,0.0015,0.01,1,0.5,31,"0.9",69
"248",0.25,0.000925925925925926,1,0.0015,0.01,1,0.5,31,"1",72
"249",0.5,0.000925925925925926,1,0.0015,0.01,1,0.5,32,"0",99
"250",0.5,0.000925925925925926,1,0.0015,0.01,1,0.5,32,"0.4",100
"251",0.5,0.000925925925925926,1,0.0015,0.01,1,0.5,32,"0.5",100
"252",0.5,0.000925925925925926,1,0.0015,0.01,1,0.5,32,"0.6",100
"253",0.5,0.000925925925925926,1,0.0015,0.01,1,0.5,32,"0.7",99
"254",0.5,0.000925925925925926,1,0.0015,0.01,1,0.5,32,"0.8",100
"255",0.5,0.000925925925925926,1,0.0015,0.01,1,0.5,32,"0.9",100
"256",0.5,0.000925925925925926,1,0.0015,0.01,1,0.5,32,"1",100
"257",1,0.000925925925925926,1,0.0015,0.01,1,0.5,33,"0",93
"258",1,0.000925925925925926,1,0.0015,0.01,1,0.5,33,"0.4",89
"259",1,0.000925925925925926,1,0.0015,0.01,1,0.5,33,"0.5",88
"260",1,0.000925925925925926,1,0.0015,0.01,1,0.5,33,"0.6",89
"261",1,0.000925925925925926,1,0.0015,0.01,1,0.5,33,"0.7",86
"262",1,0.000925925925925926,1,0.0015,0.01,1,0.5,33,"0.8",89
"263",1,0.000925925925925926,1,0.0015,0.01,1,0.5,33,"0.9",82
"264",1,0.000925925925925926,1,0.0015,0.01,1,0.5,33,"1",79
"265",0.25,0.000277777777777778,1,0.0015,0.01,1,0.5,34,"0",73
"266",0.25,0.000277777777777778,1,0.0015,0.01,1,0.5,34,"0.4",74
"267",0.25,0.000277777777777778,1,0.0015,0.01,1,0.5,34,"0.5",71
"268",0.25,0.000277777777777778,1,0.0015,0.01,1,0.5,34,"0.6",70
"269",0.25,0.000277777777777778,1,0.0015,0.01,1,0.5,34,"0.7",64
"270",0.25,0.000277777777777778,1,0.0015,0.01,1,0.5,34,"0.8",62
"271",0.25,0.000277777777777778,1,0.0015,0.01,1,0.5,34,"0.9",65
"272",0.25,0.000277777777777778,1,0.0015,0.01,1,0.5,34,"1",62
"273",0.5,0.000277777777777778,1,0.0015,0.01,1,0.5,35,"0",100
"274",0.5,0.000277777777777778,1,0.0015,0.01,1,0.5,35,"0.4",100
"275",0.5,0.000277777777777778,1,0.0015,0.01,1,0.5,35,"0.5",100
"276",0.5,0.000277777777777778,1,0.0015,0.01,1,0.5,35,"0.6",100
"277",0.5,0.000277777777777778,1,0.0015,0.01,1,0.5,35,"0.7",100
"278",0.5,0.000277777777777778,1,0.0015,0.01,1,0.5,35,"0.8",99
"279",0.5,0.000277777777777778,1,0.0015,0.01,1,0.5,35,"0.9",100
"280",0.5,0.000277777777777778,1,0.0015,0.01,1,0.5,35,"1",100
"281",1,0.000277777777777778,1,0.0015,0.01,1,0.5,36,"0",80
"282",1,0.000277777777777778,1,0.0015,0.01,1,0.5,36,"0.4",85
"283",1,0.000277777777777778,1,0.0015,0.01,1,0.5,36,"0.5",87
"284",1,0.000277777777777778,1,0.0015,0.01,1,0.5,36,"0.6",85
"285",1,0.000277777777777778,1,0.0015,0.01,1,0.5,36,"0.7",87
"286",1,0.000277777777777778,1,0.0015,0.01,1,0.5,36,"0.8",86
"287",1,0.000277777777777778,1,0.0015,0.01,1,0.5,36,"0.9",81
"288",1,0.000277777777777778,1,0.0015,0.01,1,0.5,36,"1",84
"289",0.125,0.00277777777777778,0.5,0.33,0.5,1,0.75,37,"0",100
"290",0.125,0.00277777777777778,0.5,0.33,0.5,1,0.75,37,"0.4",100
"291",0.125,0.00277777777777778,0.5,0.33,0.5,1,0.75,37,"0.5",99
"292",0.125,0.00277777777777778,0.5,0.33,0.5,1,0.75,37,"0.6",98
